"Acad_Org","Eff_Date","Status","Descr","Short_Desc","FormalDesc","Institution","Campus","MgrID","Instr_Edit","Campus_Edit","Subject_Edit","Course_Edit","AOU_Code","DeptID"
"MEDIA","01/01/2007","A","Media","Media","Media","UNIAD","NTRCE","","I","N","N","Y","651","4020"
"PHILOSOPHY","01/01/2006","A","Philosophy","Philosophy","Philosophy","UNIAD","NTRCE","","I","N","Y","N","651","4020"
"LOP","01/01/2006","A","Language Outreach Program","LOP","Language Outreach Program","UNIAD","FLIND","","I","N","Y","N","960","4100"
"ACPFG","01/01/2006","A","Aust Cen Plant Funct Genomics","ACPFG","Australian Centre for Plant Function Genomics","UNIAD","WAITE","","I","N","N","N","655","1411"
"IBEL","01/01/2007","A","Inst for International Trade","Intl Trade","Institute for International Trade","UNIAD","NTRCE","","I","N","Y","N","396","5050"
"MEDICALSCH","31/12/2006","I","Medical School (Inactive)","Med Sch","Medical School","UNIAD","NTRCE","","I","N","N","Y","340","3700"
"ANIMALSCI","31/12/2006","I","Animal Science(Inactive)","AnimSc(I)","Animal Science (Inactive)","UNIAD","ROSE","","I","N","Y","N","655","1411"
"EUROS&GL","31/12/2006","I","Ctr Euro Stud & Ling (Inact)","EuroSt&GL","Centre for European Studies & General Linguistics","UNIAD","NTRCE","","I","N","Y","N","651","4020"
"DS&SS","31/12/2006","I","Student & Staff Serv Div(Inac)","Ds&Ss","Division of Student & Staff Services","UNIAD","NTRCE","","I","N","N","Y","973","6300"
"BIOMETRICS","01/01/2007","I","Biometrics SA (Inactive)","Biomet SA","Biometrics SA","UNIAD","WAITE","","I","N","N","Y","655","1411"
"VETSCI","01/12/2007","I","School of Veterinary Sc(Inact)","VetScie(I)","School of Veterinary Sc(Inactive)","UNIAD","ROSE","","I","N","Y","N","675","1222"
"CIV&ENVENG","01/01/2008","A","Sch of Civil, Env & Mining Eng","CE&M Eng","School of Civil, Environmental & Mining Eng","UNIAD","NTRCE","","I","N","Y","N","282","2190"
"COMMERCES","01/01/2009","I","School of Commerce(Inactive)","Commerces","School of Commerce","UNIAD","NTRCE","","I","N","N","Y","261","5201"
"GSM","01/01/2009","I","Adel Grad Sch of Bus(Inactive)","Adel GSB","Adelaide Graduate School of Business","UNIAD","NTRCE","","I","N","N","Y","264","5301"
"EDUCS","01/01/2009","A","School of Education","Sch Educ","School of Education","UNIAD","NTRCE","","I","N","Y","N","214","4130"
"MEDICINE","01/01/2009","A","Medicine","Medicine","Medicine","UNIAD","NTRCE","","I","N","N","Y","346","3844"
"NCPGG","01/01/2009","I","Aust Sch Petroleum(Sc)(Inact)","ASP (Sci)","Australian School of Petroleum(Sciences)(Inactive)","UNIAD","THBRT","","I","N","Y","N","657","2860"
"IPAS","01/05/2009","A","Inst for Photo & Adv Sensing","IPAS","Institute for Photonics and Advanced Sensing","UNIAD","NTRCE","","I","N","N","Y","704","1170"
"WAITE INST","01/05/2009","A","Waite Institute","Waite Inst","Waite Institute","UNIAD","NTRCE","","I","N","N","Y","705","1181"
"ENVIR INST","01/05/2009","A","Environment Institute","Envir Inst","Environment Institute","UNIAD","NTRCE","","I","N","N","Y","706","1190"
"IMER","01/05/2009","A","Inst for Minerals & Energy Res","IMER","Institute for Minerals and Energy Resources","UNIAD","NTRCE","","I","N","N","Y","707","2100"
"PHIDU","01/07/2009","A","Public Health Info Dev Unit","PHIDU","Public Health Information Development Unit","UNIAD","NTRCE","","I","N","N","Y","661","4240"
"SCHVETSCI","01/01/2010","A","Sch of Animal & Veterinary Sci","Ani&VetSci","School of Animal and Veterinary Sciences","UNIAD","ROSE","","I","N","Y","N","675","1222"
"AGANIMALSC","01/01/2010","I","Agriculture and Animal Sc(In)","Ag&AnimSci","Agriculture and Animal Science","UNIAD","ROSE","","I","N","Y","N","655","1411"
"PLANTSCI","01/01/2010","I","Plant and Food Science(Inact)","Plant&Food","Plant and Food Science","UNIAD","WAITE","","I","N","N","Y","655","1411"
"AGFOODWINE","01/01/2010","I","Agri Food and Wine Bus(Inact)","Ag F&W Bus","Agri Food and Wine Business","UNIAD","WAITE","","I","N","Y","N","655","1411"
"HORTVIT&ON","01/01/2010","I","Wine and Horticulture(Inact)","Wine&Hort","Wine and Horticulture","UNIAD","WAITE","","I","N","N","Y","655","1411"
"CASM","01/01/2010","A","CASM","CASM","Centre for Aboriginal Studies in Music","UNIAD","NTRCE","","I","N","N","Y","368","4040"
"CONF INST","01/01/2010","A","Confucius Institute","Conf Inst","Confucius Institute","UNIAD","NTRCE","","I","N","N","Y","314","4050"
"LOCUSAR","01/01/2010","A","LocuSAR","LocuSAR","LocuSAR","UNIAD","NTRCE","","I","N","N","Y","312","4060"
"ELU","01/01/2010","A","Endangered Languages Unit","ELU","Endangered Languages Unit","UNIAD","NTRCE","","I","N","N","Y","313","4080"
"ANTHROPLGY","01/01/2011","A","Anthropology & Develop Stud","Ant&DevStu","Anthropology and Development Studies","UNIAD","NTRCE","","I","N","Y","N","650","4010"
"ANATSCI","01/01/2011","I","Anatomical Sciences(Inactive)","AnatSc(In)","Anatomical Sciences (Inactive)","UNIAD","NTRCE","","I","N","N","Y","342","3740"
"PATHOLOGY","01/01/2011","I","Pathology (Inactive)","Pathol(In)","Pathology (Inactive)","UNIAD","NTRCE","","I","N","N","Y","352","3820"
"HURSU","01/01/2011","A","Ctr for HU&RP","Ctr HU&RP","Centre for Housing, Urban and Regional Planning","UNIAD","","","I","N","N","Y","233","4300"
"GEOG&ENV","01/01/2011","A","Geography, Environment & Pop","GeoEnv&Pop","Geography, Environment and Population","UNIAD","NTRCE","","I","N","Y","N","650","4010"
"REPROD MED","01/01/2011","A","Robinson Foundation","Rbson Fdn","Robinson Foundation","UNIAD","NTRCE","","I","N","N","Y","347","3795"
"YPIHU","01/01/2011","A","Yaitya Purruna IHU","YPIHU","Yaitya Purruna Indigenous Health Unit","UNIAD","","","P","N","N","N","510","3920"
"CMVH","01/01/2011","A","Ctr Traumatic Stress Studies","CTSS","Centre for Traumatic Stress Studies","UNIAD","NTRCE","","I","N","N","Y","358","3910"
"ENGLISH","01/01/2011","A","English and Creative Writing","E&CW","English and Creative Writing","UNIAD","NTRCE","","I","N","Y","N","651","4020"
"ADMINSERV","01/01/2012","I","Student Admin Services(Inact)","SAS(In)","Student Administrative Services(Inactive)","UNIAD","NTRCE","","I","N","N","Y","921","6474"
"ACUE","01/01/2012","I","CLPD(Inactive)","CLPD(In)","Centre for Learning and Professional Dev(Inactive)","UNIAD","NTRCE","","I","N","N","Y","922","7320"
"PSO","01/01/2012","I","Student Info & Serv(Inactive)","S I&S(In)","Student Information & Services(Inactive)","UNIAD","NTRCE","","I","N","Y","N","924","6430"
"CLR","01/01/2013","A","WISeR","WISer","Aust Workplace Innovation & Social Research Ctr","UNIAD","NTRCE","","I","N","N","Y","311","4070"
"ARCH&URBD","01/01/2013","A","Sch of Arch and Built Envir","SchArcBuEn","School of Architecture and Built Environment","UNIAD","NTRCE","","I","N","N","Y","201","5100"
"ECIC","01/01/2013","A","Entrepren, Comm & Innov Centre","ECIC","Entrepreneurship, Commercialisation & Innov Centre","UNIAD","NTRCE","","I","N","Y","N","659","5550"
"SCHMARKMGT","01/01/2014","A","Sch of Marketing & Management","Mkt&Mgt","School of Marketing and Management","UNIAD","NTRCE","","I","N","Y","N","269","5210"
"WILTOYERLO","01/01/2014","A","Wirltu Yarlu Aboriginal Educ","WirltuYarl","Wirltu Yarlu Aboriginal Education","UNIAD","NTRCE","","I","N","Y","N","653","6390"
"SCHPHYSCI","01/01/2015","A","School of Physical Sciences","SchPhySci","School of Physical Sciences","UNIAD","NTRCE","","I","N","Y","N","371","2840"
"AGRISCI","01/01/2015","A","Agricultural Science","AgriSci","Agricultural Science","UNIAD","NTRCE","","I","N","Y","N","373","1411"
"PLASCI","01/01/2015","A","Plant Science","PlantSci","Plant Science","UNIAD","NTRCE","","I","N","Y","N","374","1411"
"MOL&CELBIO","01/01/2015","A","Molecular & Cellular Biology","MolCelBio","Molecular & Cellular Biology","UNIAD","NTRCE","","I","N","Y","N","377","2850"
"ECO&ENVSCI","01/01/2015","A","Ecology& Environmental Science","EcoEnvSci","Ecology and Environmental Science","UNIAD","NTRCE","","I","N","Y","N","379","2850"
"SCHEARTH","01/01/2015","I","School of Earth& Env Sci(Ina)","SchEESc(I)","School of Earth and Environmental Sci(Inactive)","UNIAD","NTRCE","","I","N","Y","N","657","2860"
"CSSM","01/01/2015","I","Centre Sub Atom Struc Mat(Ina)","CSSM(I)","Centre for Sub Atomic Structure Matter(Inactive)","UNIAD","NTRCE","","I","N","Y","N","656","2840"
"BIOCHEM","01/01/2015","I","Biochemistry(Ina)","Biochem(I)","Biochemistry(Inactive)","UNIAD","NTRCE","","I","N","N","Y","658","2850"
"GENETICS","01/01/2015","I","Genetics(Ina)","Genetic(I)","Genetics(Inactive)","UNIAD","NTRCE","","I","N","Y","N","658","2850"
"MICRO","01/01/2015","I","Microbiology and Immun(Ina)","MicroIm(I)","Microbiology and Immunology(Inactive)","UNIAD","NTRCE","","I","N","N","Y","658","2850"
"ARTHIST","01/01/2015","A","Art History","ArtHistory","Art History","UNIAD","NTRCE","","I","N","Y","N","209","4020"
"SCHHISTPOL","01/01/2015","I","Sch of History & Politics(Ina)","Sch H&P(I)","School of History & Politics (Inactive)","UNIAD","NTRCE","","I","N","Y","N","652","4030"
"ARTS","01/01/2015","A","Arts Faculty Office","Arts Off","Arts Faculty Office","UNIAD","NTRCE","","I","N","N","Y","210","4100"
"H&SSFO","01/01/2015","A","Arts Faculty Admin Office","Arts FAO","Arts Faculty Admin Office","UNIAD","NTRCE","","I","N","Y","N","210","4100"
"SPANISH","01/01/2015","A","Spanish Studies","Spanish","Spanish Studies","UNIAD","NTRCE","","I","N","N","Y","230","4020"
"OPHTHAL&VS","01/01/2016","I","Ophthalmology(Ina)","Opthal(In)","Ophthalmology(Inactive)","UNIAD","NTRCE","","I","N","Y","N","359","3724"
"SCHMEDICAL","01/01/2016","I","School of Medical Sciences(In)","SchMeS(In)","School of Medical Sciences(Inactive)","UNIAD","NTRCE","","I","N","N","Y","332","3620"
"DENTAL","01/01/2016","A","Dental","Dental","Dental","UNIAD","NTRCE","","I","N","N","Y","680","3190"
"SINGNURS","01/01/2016","A","Ngee Ann Nursing Prg Singapore","NgeeAnnNur","Ngee Ann Nursing Program Singapore","UNIAD","NTRCE","","I","N","N","Y","686","3250"
"MEDSO","01/01/2016","I","Medical School Group(Ina)","MedSGrp(I)","Medical School Group(Inactive)","UNIAD","NTRCE","","I","N","Y","N","340","3700"
"SAFDER","01/01/2016","I","SA Found Dental Ed & Res(Inac)","SAFDER(I)","SA Foundation for Dental Education & Rch(Inactive)","UNIAD","NTRCE","","I","N","N","Y","241","3500"
"ANATPATH","01/01/2016","I","Anatomy and Pathology(Ina)","AnaPath(I)","Anatomy and Pathology(Inactive)","UNIAD","NTRCE","","I","N","N","Y","332","3620"
"PAEDIATRIC","01/01/2016","I","Paediatrics(Inactive)","Paed(Ina)","Paediatrics(Inactive)","UNIAD","NTRCE","","I","N","N","Y","351","3816"
"PHYSIOLOGY","01/01/2016","I","Physiology(Inactive)","Phys(Ina)","Physiology(Inactive)","UNIAD","NTRCE","","I","N","N","Y","389","3620"
"SCHMEDSCOF","01/01/2016","I","School Medical Sci Off(Inac)","SchMedS(I)","School of Medical Sciences Office(Inactive)","UNIAD","NTRCE","","P","N","N","N","332","3620"
"SURGERY","01/01/2016","I","Surgery(Inactive)","Surgery(I)","Surgery(Inactive)","UNIAD","NTRCE","","I","N","N","Y","354","3850"
"SCHPSYCHOF","01/01/2016","I","School of Psych Off(Inac)","PsychOf(I)","School of Psychology Office(Inactive)","UNIAD","NTRCE","","P","N","N","N","335","3650"
"JBI","01/01/2016","A","Joanna Briggs Inst","JBI","Joanna Briggs Institute","UNIAD","NTRCE","","I","N","N","Y","701","3414"
"HISTORY","01/01/2015","A","History","History","History","UNIAD","NTRCE","","I","N","Y","N","221","4020"
"HLTHSCFO","01/01/2017","A","Hlth & Med Sci Faculty Office","HMSFacOff","Health and Medical Sciences Faculty Office","UNIAD","NTRCE","","I","N","Y","N","330","3400"
"CLINNURSE","01/01/2017","A","Adelaide Nursing School","AdlNursSch","Adelaide Nursing School","UNIAD","NTRCE","","I","N","N","Y","345","3754"
"DENTISTRY","01/01/2017","A","Dental School Administration","DtSchAdmin","Dental School Administration","UNIAD","NTRCE","","I","N","Y","N","241","3500"
"ENGMATHFO","01/01/2017","A","EC&MS Faculty Services","ECMS Srvcs","EC&MS Faculty Services","UNIAD","NTRCE","","I","N","Y","N","270","2010"
"AISR","01/01/2017","A","Hugo Centre","Hugo Ctr","Hugo Centre for Migration and Population Research","UNIAD","NTRCE","","P","N","N","N","232","4190"
"SAPAC","01/01/2017","I","eResearch SA (Inactive)","eRsch(Ina)","eResearch SA(Inactive)","UNIAD","NTRCE","","I","N","N","N","370","1210"
"SCHACCFIN","01/01/2014","A","Sch of Accounting & Finance","Acct&Fin","School of Accounting and Finance","UNIAD","NTRCE","","I","N","Y","N","267","5200"
"EXECEDUC","01/01/2014","I","Executive Education (Inactive)","Exec Educ","Executive Education","UNIAD","NTRCE","","I","N","N","Y","266","5150"
"SCHMOLBIOL","01/01/2015","I","Sch Molec & Biomed Sci(Ina)","SchMBSc(I)","School of Molecular and Biomedical Sci(Inactive)","UNIAD","WAITE","","I","N","Y","N","658","2850"
"ENVBIOL","01/01/2015","I","Ecology& Evolutionary Bio(Ina)","EcolEBi(I)","Ecology and Evolutionary Biology(Inactive)","UNIAD","NTRCE","","I","N","N","Y","657","2860"
"SOIL&WATER","01/01/2015","I","Soil and Land Systems(Ina)","SoilLan(I)","Soil and Land Systems(Inactive)","UNIAD","WAITE","","I","N","N","Y","657","2860"
"BUSSCH","01/01/2015","A","Uni of Adelaide Business Sch","Business","University of Adelaide Business School","UNIAD","NTRCE","","I","N","Y","N","266","5150"
"ANAESTH&IC","01/01/2016","I","Acute Care Medicine(Ina)","AcCaMe(In)","Acute Care Medicine(Inactive)","UNIAD","NTRCE","","I","N","N","Y","341","3730"
"C&EPHARM","01/01/2016","I","Pharmacology(Inactive)","Pharm(Ina)","Pharmacology(Inactive)","UNIAD","NTRCE","","I","N","N","Y","343","3760"
"SCHPHCP","01/01/2016","A","School of Public Health","SchPubHlth","School of Public Health","UNIAD","NTRCE","","I","N","N","Y","333","3774"
"SCHPHCPOF","01/01/2016","I","School of Public Hlth Off(Ina)","PubHlth(I)","School of Public Health Office(Inactive","UNIAD","NTRCE","","P","N","N","N","333","3774"
"OBST&GYNAE","01/01/2016","I","Obstetrics and Gynae(Ina)","Ob&Gyn(I)","Obstetrics and Gynaecology(Inactive)","UNIAD","NTRCE","","I","N","N","Y","347","3795"
"PSYCHIATRY","01/01/2016","I","Psychiatry(Inactive)","Psych(Ina)","Psychiatry(Inactive)","UNIAD","NTRCE","","I","N","N","Y","353","3834"
"OFS","01/01/2016","I","Off for Future Students(Inac))","OffFStd(I)","Office for Future Students(Inactive)","UNIAD","","","I","N","N","Y","947","7370"
"SR&AS","01/01/2016","A","Student Recruitment & Adm Svcs","StudRecAdm","Student Recruitment and Admissions Services","UNIAD","NTRCE","","I","N","N","Y","511","7400"
"ROBINSON","01/01/2016","I","Robinson Research Inst(Inact)","RRI(Ina)","Robinson Research Institute (Inactive)","UNIAD","NTRCE","","I","N","N","Y","702","3666"
"GFS","01/01/2016","A","Ctr Global Food & Resources","GlobalFood","Centre for Global Food & Resources","UNIAD","","","P","N","N","N","268","5500"
"LAWS","01/01/2016","A","Adelaide Law School","AdlLawSch","Adelaide Law School","UNIAD","NTRCE","","I","N","N","Y","301","5350"
"RURALHLTH","01/01/2017","A","Adelaide Rural Clinical School","RuralClScl","Adelaide Rural Clinical School","UNIAD","NTRCE","","I","N","N","Y","357","3900"
"DENTALSCH","01/01/2017","A","Adelaide Dental School","AdlDentSch","Adelaide Dental School","UNIAD","NTRCE","","I","N","N","Y","241","3500"
"DFIN&INFRA","01/01/2017","A","University Operations","UniOps","University Operations","UNIAD","NTRCE","","I","N","N","Y","974","8000"
"DVCR","01/01/2017","A","Div. of Research & Innovation","Div of R&I","Division of Research and Innovation","UNIAD","NTRCE","","I","N","Y","N","988","7000"
"DVC&P","01/01/2017","A","Div of Academic & Student Eng","DivAcStEng","Division of Academic and Student Engagement","UNIAD","NTRCE","","I","N","Y","N","987","7250"
"SCHBIOSCI","01/01/2015","A","School of Biological Sciences","SchBioSci","School of Biological Sciences","UNIAD","NTRCE","","I","N","Y","N","372","2850"
"FOOD&WINE","01/01/2015","A","Food & Wine Science","FoodWineSc","Food & Wine Science","UNIAD","NTRCE","","I","N","Y","N","375","1411"
"EARTHSCI","01/01/2015","A","Earth Science","EarthSci","Earth Science","UNIAD","NTRCE","","I","N","Y","N","376","2840"
"GENGEN&EVO","01/01/2015","A","Genetics,Genomics & Evolution","GenGenEvo","Genetics,Genomics & Evolution","UNIAD","NTRCE","","I","N","Y","N","378","2850"
"SCHCH&PHY","01/01/2015","I","School of Chemistry& Phys(Ina)","SchChPh(I)","School of Chemistry & Physics(Inactive)","UNIAD","NTRCE","","I","N","Y","N","656","2840"
"GEOL&GEOPH","01/01/2015","I","Geology & Geophysics(Ina)","GeolGeo(I)","Geology and Geophysics(Inactive)","UNIAD","NTRCE","","I","N","N","Y","657","2860"
"CLASSICS","01/01/2015","A","Classics.Arch&AncientHist","ClArcAHist","Classics, Archaeology and Ancient History","UNIAD","NTRCE","","I","N","N","Y","651","4020"
"ASIANSTD","01/01/2015","A","Asian Studies","AsianStds","Asian Studies","UNIAD","NTRCE","","I","N","Y","N","650","4010"
"HUM&SOCSCI","01/01/2015","A","Faculty of Arts","ARTS","Faculty of Arts","UNIAD","NTRCE","","I","N","N","Y","210","4100"
"ACRI","01/01/2016","I","Adelaide Cancer Res Inst(Ina)","ACRI(I)","Adelaide Cancer Research Institute(Inactive)","UNIAD","NTRCE","","I","N","N","Y","703","3674"
"SCHPAEDIAT","01/01/2016","I","Sch Paediatrics & Rep Hlth(In)","PaedRep(I)","School of Paediatrics & Reproductive Health(Inact)","UNIAD","NTRCE","","I","N","N","Y","334","3640"
"MEDSCI","01/01/2016","A","Medical Sciences","MedSci","Medical Sciences","UNIAD","NTRCE","","I","N","N","Y","682","3210"
"MEDSPEC","01/01/2016","A","Medical Specialties","MedSpec","Medical Specialties","UNIAD","NTRCE","","I","N","N","Y","683","3220"
"PAED&REPRO","01/01/2016","A","Paeds & Repro Hlth","PaedRepHlt","Paeds & Repro Hlth","UNIAD","NTRCE","","I","N","N","Y","684","3230"
"SURGSPEC","01/01/2016","A","Surgical Specialties","SurgSpec","Surgical Specialties","UNIAD","NTRCE","","I","N","N","Y","685","3240"
"ORALHLTH","01/01/2016","A","Oral Health","OralHealth","Oral Health","UNIAD","NTRCE","","I","N","N","Y","681","3200"
"DENTIST","01/01/2016","I","Dentistry(Inactive)","Dent(Inac)","Dentistry(Inactive)","UNIAD","NTRCE","","I","N","N","Y","241","3500"
"MEDEDUNIT","01/01/2016","I","Medicine L&T Unit(Ina)","MLTU(Ina)","Medicine Learning and Teaching Unit(Inactive)","UNIAD","NTRCE","","I","N","N","Y","356","3890"
"ORTH&TRMA","01/01/2016","I","Orthopaedics and Trauma(Inac)","OrthTra(I)","Orthopaedics and Trauma(Inactive)","UNIAD","NTRCE","","I","N","N","Y","349","3800"
"SCHMEDICOF","01/01/2016","I","School of Medicine Off(Inac)","MedOff(In)","School of Medicine Office(Inactive)","UNIAD","NTRCE","","P","N","N","N","331","3840"
"SCHPAEDOF","01/01/2016","I","SchPaeds & Repro Hlth Off(Ina)","PaedRep(I)","School of Paediatrics & Reproductive Hlth Off(Ina)","UNIAD","NTRCE","","P","N","N","N","334","3640"
"INTOFF","01/01/2016","I","International Office(Inactive)","IntOff(In)","International Office (Inactive)","UNIAD","NTRCE","","I","N","N","N","147","7510"
"POLITICS","01/01/2015","A","Politics & Intl. Studies","POLIS","Politics and International Studies","UNIAD","NTRCE","","I","N","Y","N","225","4010"
"HEALTHSCI","01/01/2017","A","Faculty of Health & Med Sci","HlthMedSci","Faculty of Health and Medical Sciences","UNIAD","NTRCE","","I","N","N","Y","330","3400"
"SCHMEDIC","01/01/2017","A","Adelaide Medical School","AdlMedSch","Adelaide Medical School","UNIAD","NTRCE","","I","N","N","Y","331","3840"
"SOCIALINQ","01/01/2017","A","Soc, Crim & Gender Studies","SocCrimGen","Sociology, Criminology and Gender Studies","UNIAD","NTRCE","","I","N","Y","N","650","4010"
